call_label,severity,field,issue,suggestion
2_types_nulls,ERROR,"wi-sfy26-ec-fundable-list.csv: MHI (<$60,536)","Stored as character (e.g., '$53,561.00'). Should be numeric.","Convert to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,"wi-sfy26-ec-fundable-list.csv: Eligible EC PF%5, Subsidized LoanRate",Stored as character with '%' symbol. Should be numeric for calculations.,Convert to numeric by removing '%' symbol
2_types_nulls,WARNING,wi-sfy26-general-fundable-list.csv: Project Description,"1 row (1.1%) contains NA/null value. Dictionary does not explicitly mark this field as optional, and project description is important for project type classification.","Investigate and populate the missing project description value for row 4 (1WESTON, VILLAGE OF, ProjectNumber 4935-05), or clarify if this is acceptable"
2_types_nulls,WARNING,wi-sfy26-gen-ec-comp-list.csv: FederalEquivalency2,"88.5% NA rate (373 missing values out of 425 rows). Dictionary specifies 'No Information' for this field in comprehensive lists, but such high missingness may indicate data collection issues.","Verify if this high NA rate is expected for comprehensive lists, or if data should be populated. Consider if 'No Information' should be explicitly coded as such rather than NA"
2_types_nulls,INFO,wi-sfy26-lsl-fundable-list.csv: Municipality,"Contains 'MILWAUKEE, CITY OF2' which appears to be a data entry variant of 'MILWAUKEE, CITY OF'. This inconsistency may affect grouping and analysis.","Standardize municipality names by removing numeric suffixes (e.g., rename 'MILWAUKEE, CITY OF2' to 'MILWAUKEE, CITY OF')"
2_types_nulls,INFO,wi-sfy26-general-fundable-list.csv: Municipality,"Contains municipality names with leading numeric prefixes (e.g., '1RHINELANDER, CITY OF', '1PRAIRIE DU CHIEN, CITY OF'). These appear to be data entry artifacts and inconsistent with standard municipality naming.",Remove leading numeric prefixes from municipality names to standardize data
2_types_nulls,INFO,wi-sfy26-ec-fundable-list.csv: Municipality,"Contains municipality names with leading numeric prefixes and special characters (e.g., '1,2RHINELANDER, CITY OF', '1\rGREEN LAKE, CITY OF'). Also contains apparent line break characters ('\r').","Remove numeric prefixes, special characters, and line breaks from municipality names. Standardize formatting"
2_types_nulls,WARNING,Multiple files: Column headers,"Several files have column headers containing '\r' (carriage return) characters (e.g., 'Project\rNumber', 'Municipality\r', 'Region\r'), indicating data encoding or export issues.",Clean column headers by removing all line break and carriage return characters during data import/processing
3_script_logic,ERROR,list,wi_gen_ec_fundable is assigned list = 'SFY26 General & EC Fundable List' (with ampersand) but the data dictionary names this source 'SFY26 General and EC Fundable List' (with 'and'). This will cause the merge and any downstream list-based logic to misidentify records.,Change to list = 'SFY26 General and EC Fundable List'
3_script_logic,ERROR,list,wi_lsl_fundable is assigned list = 'SFY25 LSL Fundable List' (SFY25) instead of 'SFY26 LSL Fundable List'. This is a wrong fiscal year label.,Change to list = 'SFY26 LSL Fundable List'
3_script_logic,ERROR,funding_amount,"In wi_gen_ec_fundable, funding_amount is first correctly computed as estimated_loan_amount + principal_forgiveness, but is then immediately overwritten with clean_numeric_string(estimated_loan_amount), dropping the principal forgiveness component. The dictionary states funding_amount should be the sum of Estimated Loan Amount and Total Estimated PF.",Remove the second assignment 'funding_amount = clean_numeric_string(estimated_loan_amount)' so funding_amount retains the sum
3_script_logic,ERROR,project_id,"wi_lsl_fundable maps project_id from project_number, but the dictionary specifies that for the SFY26 LSL Fundable List the source column is 'Project #', not 'Project Number'. After clean_names() this would become 'project_number_' or 'project' depending on janitor, and may silently produce NAs.",Verify the raw column name after janitor::clean_names() for the LSL Fundable List and use the correct column name corresponding to 'Project #'
3_script_logic,ERROR,disadvantaged,"In wi_lsl_fundable, disadvantaged is set to 'No' when private_side_pf_percent == '0%', but the dictionary states those cases should be 'No Information', not 'No'.","Change ifelse(private_side_pf_percent != '0%', 'Yes', 'No') to ifelse(private_side_pf_percent != '0%', 'Yes', 'No Information')"
3_script_logic,ERROR,disadvantaged,"In wi_gen_ec_fundable, the case_when sets disadvantaged to 'No' when pf_points < 60, but the dictionary only defines 'Yes' for >= 60 points and does not define a 'No' case — implying records below 60 should be 'No Information'.",Change TRUE ~ 'No' to TRUE ~ 'No Information'
3_script_logic,ERROR,expecting_funding,"In wi_clean, expecting_funding = replace_na(expecting_funding, 'No') sets unknowns to 'No', but the dictionary defines a third value 'No Information' for projects where funding status is unknown. Projects not on any fundable or not-fundable list would be incorrectly labeled 'No'.","Use replace_na(expecting_funding, 'No Information') and separately ensure projects explicitly on the Not Fundable List or comprehensive-only lists are set to 'No'"
3_script_logic,ERROR,project_type,"In wi_gen_ec_fundable, the EC project_type detection uses grepl('(EC)', project_description) as a plain string, but the dictionary specifies matching '(EC1)' or '(EC2)' at the end of Project Description, not a bare '(EC)'. The parentheses are also not regex-escaped, so '(' and ')' are treated as grouping operators.","Use grepl('\\(EC1\\)|\\(EC2\\)', project_description) and ensure it matches at the end of the string per the dictionary"
3_script_logic,ERROR,project_type,"In wi_clean's case_when for project_type, grepl('(EC)', project_description) is again used without escaping parentheses and checks for '(EC)' rather than '(EC1)' or '(EC2)' per the dictionary.","Replace with grepl('\\(EC1\\)|\\(EC2\\)', project_description)"
3_script_logic,WARNING,project_type,The SFY26 EC Comprehensive List is never loaded or merged into the dataset. The dictionary lists it as a source document and states that any projects on it not already on the General and EC Comprehensive List must be included.,"Load wi-sfy26-ec-comp-list.csv, apply the same transformations, and union any records with project IDs not already present in wi_gen_ec_comp"
3_script_logic,WARNING,project_score,"For the SFY26 LSL Comprehensive List, the dictionary states project_score is 'No Information', but the script merges LSL Comprehensive List records via wi_comp_all and takes the score from the fundable list if available. If an LSL Comprehensive List project is not on the fundable list, its project_score will remain NA and be replaced by 'No Information' correctly — but the self_score1 column is used for all comp list records including LSL Comp, which may not exist in that file.",Apply self_score1 mapping only to wi_gen_ec_comp rows and set project_score to NA explicitly for wi_lsl_comp rows before binding
3_script_logic,WARNING,project_type,"wi_gen_ec_fundable EC type detection relies on a 'program' column ('BASE' or 'EC') but this column is not documented in the data dictionary. If this column does not exist or has different values, EC classification will silently fall through to the default 'General'.","Verify the 'program' column exists in the source and document it, or rely solely on the project_description-based rules defined in the dictionary"
3_script_logic,WARNING,project_type,"The comprehensive list project_type assignment in wi_clean does not check for '(EC1)' or '(EC2)' flags or the full ec_str keyword list from the dictionary for LSL Comprehensive List records, since those records have no project_description (LSL Fundable List has no project description). This is acceptable for LSL records but the logic should not misclassify them.",Ensure LSL Comprehensive List records with project_type already set to 'Lead' are not overwritten by the general case_when
3_script_logic,WARNING,project_cost,"wi_lsl_comp is included in wi_comp_all which maps project_cost from estimated_project_cost. The dictionary confirms LSL Comprehensive List uses 'Estimated Project Cost' for project_cost, so this is correct. However, wi_lsl_comp does not explicitly set project_score to NA before the bind, and self_score1 may not exist in the LSL Comprehensive List file, potentially causing an error or silent NA.",Add explicit project_score = NA or handle the self_score1 column absence before binding wi_lsl_comp into wi_comp_all
3_script_logic,WARNING,lead_type filter,"The script computes lead_type and then filters for lead_type == 'unknown' but the result of this filter is never assigned to a variable or returned. It appears to be a diagnostic check that runs but its output is discarded, which may be intentional but could also indicate missing logic.","Clarify intent: if this is a QA check, log or assert that the result is empty; if it is meant to flag or remove records, assign and handle the output"
3_script_logic,INFO,project_name,"project_name is set to as.character(NA) which correctly reflects 'No Information' per the dictionary, but the dictionary uses 'No Information' as a string value for other fields. Confirm whether NA or the string 'No Information' is the expected representation for project_name.","For consistency with other fields like project_description and project_score, consider setting project_name = 'No Information'"
3_script_logic,INFO,borrower,borrower is set to as.character(NA). The dictionary states 'No Information' for Wisconsin. Check whether NA or the string 'No Information' is the project-wide convention.,Use 'No Information' string if that is the convention used elsewhere in the pipeline
3_script_logic,INFO,pwsid,pwsid is set to as.character(NA). Same concern as borrower regarding NA vs 'No Information' string convention.,Use 'No Information' string if that is the convention used elsewhere in the pipeline
3_script_logic,INFO,project_rank,project_rank is set to as.character(NA). The dictionary states 'No Information' for Project Rank in Wisconsin. Same NA vs string convention concern.,Use 'No Information' string if that is the convention used elsewhere in the pipeline
4_script_data,ERROR,list (wi_lsl_fundable mutate),The LSL Fundable list is labeled 'SFY25 LSL Fundable List' instead of 'SFY26 LSL Fundable List'. This is a copy-paste typo that will cause incorrect year tagging for all 47 LSL fundable rows.,Change 'SFY25 LSL Fundable List' to 'SFY26 LSL Fundable List' in the wi_lsl_fundable mutate block.
4_script_data,ERROR,funding_amount (wi_gen_ec_fundable mutate),"funding_amount is first computed as estimated_loan_amount + principal_forgiveness (numeric), but then immediately overwritten by clean_numeric_string(estimated_loan_amount), which is only the loan portion — excluding principal forgiveness. The data dictionary requires funding_amount = loan + PF.","Remove or rename the second funding_amount assignment. Compute a numeric sum first, then apply clean_numeric_string to the sum, e.g. funding_amount = clean_numeric_string(as.character(estimated_loan_amount + convert_to_numeric(total_estimated_pf, TRUE)))."
4_script_data,ERROR,project_id (wi_lsl_fundable),"The LSL Fundable list column is named 'Project #' which after janitor::clean_names() becomes 'project_number' — but in wi_lsl_comp the same raw column is also 'ProjectNumber' -> 'project_number'. However, the LSL Fundable file uses 'Project #' not 'ProjectNumber', so clean_names() will produce 'project_number' only if there is no conflict; verify that clean_names() on 'Project #' yields 'project_number' and not 'project_x' or similar. If it yields a different name the project_id assignment will silently produce all NAs.","After clean_names(), explicitly verify or rename the column: rename(project_number = `project_#`) before the mutate, or check that clean_names() output is 'project_number'."
4_script_data,ERROR,disadvantaged (wi_lsl_fundable mutate),"The condition ifelse(private_side_pf_percent != '0%', 'Yes', 'No') assigns 'No' to all projects with 0%, but the data dictionary says projects with 0% should be 'No Information', not 'No'.","Use case_when: case_when(private_side_pf_percent == '0%' ~ 'No Information', TRUE ~ 'Yes')."
4_script_data,ERROR,project_type (wi_gen_ec_fundable mutate),"The EC type detection uses grepl('(EC)', project_description) but the parentheses are not regex-escaped. In regex, '(' and ')' are grouping metacharacters, so this pattern matches any string containing 'EC' rather than the literal string '(EC)'. This could produce false positive EC classifications.","Escape the parentheses: grepl('\\(EC\\)', project_description) or use fixed=TRUE: grepl('(EC)', project_description, fixed=TRUE)."
4_script_data,ERROR,project_type (wi_clean mutate — ec_str grep),"The same unescaped grepl('(EC)', project_description) pattern appears again in the final wi_clean mutate for project_type classification, causing the same false-positive regex issue.","Use fixed=TRUE or escape parentheses: grepl('\\(EC\\)', project_description) or grepl('(EC)', project_description, fixed=TRUE)."
4_script_data,ERROR,"project_id / merge key — Municipality 'MILWAUKEE, CITY OF2'","The LSL Fundable data contains 'MILWAUKEE, CITY OF2' as a Municipality value (a duplicate-row disambiguator appended to the name). After str_to_title this becomes 'Milwaukee, City Of2'. If project IDs for this row (4851-53) match a comp list entry for plain 'MILWAUKEE, CITY OF', the merge on project_id may still work, but community_served will be 'Milwaukee, City Of2' rather than 'Milwaukee, City Of', creating an inconsistent borrower name in the final output.","Add a cleaning step to strip trailing digits from municipality values, e.g. str_remove(municipality, '\\d+$') before str_to_title, or handle this specific case with a recode."
4_script_data,ERROR,project_number column name (wi_not_fundable),"The raw CSV header shown in the sample is 'Project\rNumber' (with an embedded carriage return). janitor::clean_names() should normalize this to 'project_r_number' or 'projectrnumber' rather than 'project_number', causing the project_id = str_squish(project_number) assignment to fail with an 'object not found' error or silently produce NAs.","After fread, inspect actual column names. If the carriage-return is literal in the header, pre-process with names(df) <- gsub('\r', '', names(df)) before clean_names(), or use make.names() to confirm the output column name and adjust the mutate accordingly."
4_script_data,ERROR,"project_number column name (wi_lsl_comp, wi_gen_ec_comp, wi_ec_comp)","Similarly, 'Project\rNumber' and 'Estimated\rProject Cost' headers in wi_lsl_comp and wi_gen_ec_comp contain embedded carriage returns. janitor::clean_names() behavior on these is unpredictable and may not yield 'project_number' or 'estimated_project_cost', breaking multiple downstream mutate references.","Strip carriage returns from all column names immediately after fread: names(df) <- gsub('\r', '', names(df)) before calling clean_names()."
4_script_data,WARNING,project_score (wi_comp_all — self_score1 column),"The SFY26 Gen & EC Comp List and EC Comp List have SelfScore1 as a numeric column (read as numeric by fread despite colClasses='character' applying to all — wait, colClasses='character' should force it). However, the column name after clean_names() will be 'self_score1' only if the raw header is 'SelfScore1'. Confirm this matches the raw header exactly.","Verify the raw CSV header and the clean_names() output. If the header is 'Self\rScore1' (with carriage return), clean_names() will not yield 'self_score1'."
4_script_data,WARNING,disadvantaged (wi_gen_ec_fundable) — pf_points threshold,"The data dictionary says DAC = pf_points >= 60. The data shows PF Points range=[0, 295] with values like 40, 80, 125, 155, 165, 170, 250. The value 40 is below 60 and would correctly be 'No', but the script uses as.numeric(pf_points) which will fail silently (NA -> 'No') if pf_points contains non-numeric strings. The TRUE ~ 'No' fallback will mask NA conversion failures.","Add an explicit NA check: case_when(is.na(as.numeric(pf_points)) ~ 'No Information', as.numeric(pf_points) >= 60 ~ 'Yes', TRUE ~ 'No')."
4_script_data,WARNING,project_type (wi_gen_ec_fundable) — program == 'EC' vs (EC) suffix,"The fundable list has Program='EC' for EC projects, but the case_when checks program=='EC' before checking project_description for '(EC)'. For the row with program='EC' and project_description=NA (e.g. WESTON row has NA description), program=='EC' correctly fires first — this is fine. However, rows with program='BASE' that have '(EC1)' or '(EC2)' in description will only be caught by the grepl fallback, which has the unescaped parentheses bug noted above.",Fix the grepl escaping as noted. Also verify whether any BASE-program rows with EC descriptions exist in the data.
4_script_data,WARNING,"Municipality values with numeric prefix — '1RHINELANDER, CITY OF', '1,2RHINELANDER, CITY OF'","The fundable and EC lists contain municipality values prefixed with footnote markers like '1', '1,2', or '1\r2' (with embedded carriage returns as seen in ec-fundable-list: '1,2\rRHINELANDER, CITY OF' and '1\rGREEN LAKE, CITY OF'). str_to_title will preserve these prefixes, yielding community_served = '1,2\rRhinelander, City Of' etc., which will not match the clean 'Rhinelander, City Of' from the comp list — breaking the merge or creating duplicate rows.","Add a step to strip leading footnote markers before str_to_title: str_remove(municipality, '^[0-9,\r\n ]+') or a regex like str_remove(municipality, '^[\\d,\\s]+(?=[A-Z])')."
4_script_data,WARNING,project_id normalize_dashes — EC fundable project descriptions with en-dash,"EC fundable project descriptions contain an en-dash (–) in 'Highway 16 Water Transmission Main for PFAS Mitigation – North (EC2)'. If normalize_dashes is also applied to project_description or if project_id values ever contain en-dashes, normalization must handle Unicode dash variants. The LSL fundable project IDs use hyphens (4851-52) which appear to be standard ASCII hyphens, so this is lower risk for IDs but worth confirming.","Ensure normalize_dashes handles both en-dash (\u2013) and em-dash (\u2014) in addition to standard hyphens, especially if project descriptions are later used in string matching."
4_script_data,WARNING,SubsidizedLoanRate — value 'fg',"The general fundable list has SubsidizedLoanRate with value 'fg' (in addition to '33%' and '55%'). While this column is not directly used in the script, it suggests data quality issues in the source file that may indicate other anomalous values in adjacent columns for the same row.","Inspect the row(s) with SubsidizedLoanRate='fg' for anomalies in RequestedProjectCosts, PFPoints, and other fields used in the cleaning script."
4_script_data,WARNING,expecting_funding (wi_comp_all merge result),"In wi_not_fundable, expecting_funding='No' is set before the bind_rows into wi_comp_all. After merging with wi_fundable, the ifelse in wi_all picks expecting_funding.y (from fundable) if not NA, else expecting_funding.x. If a not-fundable project somehow also appears on the fundable list, its expecting_funding would be overwritten to 'Yes', which may or may not be correct but is worth flagging.",Verify that no project IDs appear on both the not-fundable list and a fundable list. Add a data validation check or warning.
4_script_data,WARNING,wi_comp_all — wi_lsl_comp self_score1 reference,"wi_comp_all is formed by binding wi_gen_ec_comp, wi_not_fundable, and wi_lsl_comp. The mutate references self_score1, but wi_lsl_comp does not have a SelfScore1 column per the data dictionary and sample (its columns are Municipality, ProjectNumber, Project Description, EstimatedProjectCost, Region, CME, FederalEquivalency). After clean_names() and bind_rows, self_score1 will be NA for all LSL comp rows — this is acceptable per the data dictionary ('No Information' for LSL Comp score), but the script should confirm no error is thrown if the column is entirely absent from one source.","Confirm bind_rows fills missing columns with NA rather than erroring. This is standard dplyr/data.table behavior, but add a comment for clarity."
4_script_data,INFO,project_description (wi_not_fundable),All project descriptions in the not-fundable list are prefixed with 'UNDETERMINED: ' (e.g. 'UNDETERMINED: Construct Well No. 6 at Tomahawk City'). The EC and lead keyword matching logic in wi_clean will run against these prefixed strings. This is unlikely to cause misclassification but means project descriptions will not be clean/normalized relative to other lists.,"Consider stripping the 'UNDETERMINED: ' prefix during cleaning for consistency, or document that this prefix is expected and intentionally retained."
4_script_data,INFO,project_description — 'FREEDOM SD #1' municipality,"The not-fundable list contains 'FREEDOM SD #1' as a municipality value, which appears to be a school district rather than a standard municipality. str_to_title will render it as 'Freedom Sd #1'. This is consistent with source data but may be unexpected in geographic reference outputs.","Document that non-standard municipality types (school districts, etc.) appear in the Wisconsin data and are passed through as-is."
4_script_data,INFO,wi_gen_ec_fundable — list label inconsistency,The list label is set to 'SFY26 General & EC Fundable List' (using ampersand) whereas the data dictionary and other references use 'SFY26 General and EC Fundable List' (using 'and'). This may cause downstream filtering or display inconsistencies.,Standardize to 'SFY26 General and EC Fundable List' to match the data dictionary.
4_script_data,INFO,wi-sfy26-ec-fundable-list.csv — not read by script,"The EC fundable list file (wi-sfy26-ec-fundable-list.csv) is present in the data samples but is never read or used in the cleaning script. The data dictionary notes it may be a subset and to ensure its projects are on the general and EC fundable list, but no validation or merge step exists for it.","Add a validation check confirming all project IDs in wi-sfy26-ec-fundable-list.csv appear in wi-sfy26-general-fundable-list.csv, or explicitly document why it is excluded."
