call_label,severity,field,issue,suggestion
2_types_nulls,WARNING,EstimatedConstructionStart Date,Stored as character type with mixed formats (dates like '5/1/2021' and 'N/A' literal text); not a proper date type,Convert to date type after handling 'N/A' values; standardize date format to ISO 8601 (YYYY-MM-DD) or consistent MM/DD/YYYY
2_types_nulls,WARNING,Applicant Name,Contains carriage return characters ('\r') visible in 'Buhl Elrod Holman\rWater Authority'; indicates data formatting/encoding issues in source,Clean whitespace and control characters; standardize text encoding before ingestion
2_types_nulls,WARNING,County Served,0% NA but contains 21 distinct values for 22 rows; potential data quality issue with one county appearing twice or one row with unusual value,Verify county names are spelled correctly and consistent; check for duplicates or typos in county names
2_types_nulls,INFO,PWSID,Column not present in data file; dictionary indicates 'No information' available,Confirm whether PWSID data will be available in future data updates; document as unavailable for this funding cycle
2_types_nulls,INFO,Project ID,Column not present in data file; dictionary indicates 'No information' available,"Confirm whether Project ID will be available; if not, consider using combination of Applicant Name + Project Name as surrogate unique identifier"
2_types_nulls,INFO,Project Cost,Column not present in data file; dictionary indicates 'No information' available,Clarify whether Project Cost data exists in source documents; note this limits ability to calculate funding ratios
2_types_nulls,INFO,Requested Amount,Column not present in data file; dictionary indicates 'No information' available,Confirm if Requested Amount differs from Assistance Amount (Funding Amount); clarify mapping with data provider
2_types_nulls,INFO,Disadvantaged,Column not present in data file; dictionary indicates 'No information' available,Determine if DAC status data will be captured in future cycles; important for equity analysis and funding prioritization
2_types_nulls,INFO,Project Rank,Column not present in data file; dictionary indicates 'No Information' available,Clarify relationship between 'Priority Point Rank' (available) and 'Project Rank' (not available); confirm if these are same or different fields
2_types_nulls,INFO,Expecting Funding?,"Column not present in data file; all visible projects appear to be on SFY22 Base PPL, so would all be 'Yes'","Confirm all 22 rows represent projects expecting funding; if so, add binary indicator column or document assumption"
3_script_logic,ERROR,project_type,"EC keyword matching uses 'ec_str' variable which is never defined within the script. If it's a global variable, its contents cannot be verified against the dictionary's required EC keyword list, which includes specific terms like 'cyanotoxin', 'dioxane', 'emerging contaminant', 'lithium', 'manganese', 'Mn', 'Perfluoro-n-pentanoic acid', 'PFPeA', 'PFAS', 'PFOA', 'PFOS', 'DBP', 'disinfection byproduct', 'HAA5', 'haloacetic acid', 'trihalomethane', 'THM', 'Unregulated Contaminant Monitoring Rule'.",Define ec_str explicitly within the function or inline the full keyword regex pattern matching the dictionary's EC keyword list to ensure all required terms are captured.
3_script_logic,ERROR,project_type,"The Lead keyword check uses 'ignore.case = TRUE' which would match 'lead' as a substring in unrelated words (e.g., 'leading', 'mislead'). The dictionary specifies extracting 'lead' or 'LSL' from the description, implying intentional matches only.","Use word-boundary anchors or more specific patterns (e.g., '\blead\b|\bLSL\b') to avoid false positive lead classification."
3_script_logic,ERROR,project_name,"The dictionary specifies that project_name should be extracted from Attachment 2, but the script applies str_squish() to an existing 'project_name' column from the IUP CSV. There is no logic to extract or join data from Attachment 2 for project_name.",Add a join or extraction step from the Attachment 2 source file to populate project_name as described in the dictionary.
3_script_logic,ERROR,project_description,"The dictionary specifies that project_description should be extracted from Attachment 2, but the script applies str_squish() to a 'project_description' column already present in the IUP CSV (al-fy21-iup.csv). There is no join or extraction from Attachment 2.","Incorporate Attachment 2 data as a separate source and join or extract project_description from it, rather than relying on the base IUP CSV column."
3_script_logic,WARNING,expecting_funding,"The script hardcodes expecting_funding = 'Yes' for all rows. The dictionary states 'No' should be assigned to projects for which funding applications have been received but no SRF award has been designated. However, the dictionary also notes Alabama does not list any general or lead projects not expecting funding, so this may be intentional but is worth confirming.","Add a comment explaining the rationale for hardcoding 'Yes', and confirm that the source document contains no unfunded projects. If any EC-specific unfunded projects exist on a separate list, handle them accordingly."
3_script_logic,WARNING,community_served,"The script renames 'county_served' to 'community_served', but the data dictionary specifies the standardized field name as 'geographic_reference' (described as 'Geographic Reference'). The column selected and returned is 'community_served', which does not match the dictionary's canonical field name.","Rename the column to 'geographic_reference' to match the dictionary's standardized field name, or confirm that 'community_served' is an accepted internal alias."
3_script_logic,WARNING,project_score,"The dictionary maps 'Project Score' to 'Priority Point Rank' from the source. The script uses str_squish() on 'priority_point_rank', which is appropriate, but no numeric coercion or validation is applied. If downstream processing expects a numeric type for scoring/ranking comparisons, this could cause issues.","Clarify the expected type for project_score. If numeric, apply as.numeric() after str_squish(); if character is acceptable, document this explicitly."
3_script_logic,WARNING,funding_amount,"The script applies clean_numeric_string() to funding_amount, but the function 'clean_numeric_string' is not defined within the script. Its behavior (e.g., handling of currency symbols, commas, NAs) cannot be verified against dictionary expectations.","Ensure clean_numeric_string() is defined and documented, and verify it correctly handles currency formatting present in the source data."
3_script_logic,WARNING,principal_forgiveness,Same as funding_amount: clean_numeric_string() is applied but not defined in this script. Correct parsing of 'additional_subsidization_principal_forgiveness' cannot be confirmed.,Verify clean_numeric_string() handles all formatting edge cases for this field as present in the source document.
3_script_logic,WARNING,population,"clean_numeric_string() is applied to population_served but the function definition is not present. Population should be a numeric or integer value per standard usage, and correct coercion must be confirmed.",Ensure clean_numeric_string() returns a numeric-compatible value for population and verify against source data formatting.
3_script_logic,INFO,list,"The script hardcodes list = 'SFY22 Base PPL' and retains this column in the output. This is consistent with the dictionary noting the source is the SFY22 Base PPL, but the column 'list' is not defined as a standardized output field in the dictionary.","Confirm that 'list' is an expected metadata column in the broader pipeline schema; if not, consider removing or documenting it."
3_script_logic,INFO,state_fiscal_year,"The script hardcodes state_fiscal_year = '2022'. The dictionary references the source as 'DWSRF Intended Use Plan Fiscal Year 2021 (SFY22 Base IUP)', which could be interpreted as FY2021 or SFY2022. This ambiguity should be confirmed.",Verify that '2022' is the correct state fiscal year label consistent with how other states in the pipeline denote SFY22 documents.
3_script_logic,INFO,NA,The script calls run_tests(al_clean) but this function is not defined in the script. Its test coverage and pass/fail behavior cannot be reviewed.,"Ensure run_tests() validates key fields such as project_type values, non-null borrower, numeric ranges for population and funding_amount, and consistency with dictionary rules."
3_script_logic,INFO,pwsid,"The dictionary notes 'No information' for PWSID, and the script correctly sets it to NA. However, if PWSID data becomes available in future scrapes, this hardcoded NA will need to be revisited.",Add a comment noting PWSID is unavailable in the source document and should be revisited if source data is updated.
4_script_data,ERROR,population,"The CSV column header contains an embedded carriage return: 'Population\rServed' (seen in HEAD ROWS as 'Population\rServed'). After clean_names(), this likely becomes 'population_rserved' or 'populationrserved' rather than 'population_served', so the script's reference to 'population_served' will silently produce an all-NA column.","Inspect the actual clean_names() output for this column. Add a rename step before mutate, e.g. rename(population_served = matches('population.*served', ignore.case=TRUE)), or pre-process the header to strip \r characters before passing to clean_names()."
4_script_data,ERROR,project_score,"The CSV column header is 'Priority\rPoint Rank' (embedded carriage return), which after clean_names() likely becomes 'priority_rpoint_rank' or similar, not 'priority_point_rank'. The script references 'priority_point_rank', which would not be found, producing an error or all-NA values.","Strip \r from headers before clean_names(), or use rename(priority_point_rank = matches('priority.*point.*rank', ignore.case=TRUE))."
4_script_data,ERROR,funding_amount,"The CSV column header is 'Assistance\rAmount' (embedded carriage return). After clean_names() this likely becomes 'assistance_ramount' rather than 'assistance_amount', so the script's reference to 'assistance_amount' will fail or return NA for all rows.","Strip \r from headers before clean_names(), or use rename(assistance_amount = matches('assistance.*amount', ignore.case=TRUE))."
4_script_data,ERROR,principal_forgiveness,The CSV column header is 'Additional\rSubsidization\r(Principal\rForgiveness)' with multiple embedded carriage returns and parentheses. After clean_names() the result is unpredictable but almost certainly not 'additional_subsidization_principal_forgiveness' as referenced in the script.,"Strip \r from headers and sanitize parentheses before clean_names(), or use rename(additional_subsidization_principal_forgiveness = matches('additional.*subsidization', ignore.case=TRUE))."
4_script_data,WARNING,borrower,"The Applicant Name 'Buhl Elrod Holman\rWater Authority' contains an embedded carriage return (\r). str_squish() collapses whitespace and newlines but may not fully normalize \r, potentially leaving 'Buhl Elrod HolmanWater Authority' (no space) or a residual control character in the output, as suggested by the column summary example 'Buhl Elrod HolmanWater Authority'.","Before str_squish(), add a gsub('\r', ' ', applicant_name) step, or use str_replace_all(applicant_name, '[\r\n]+', ' ') to normalize all embedded line endings to spaces."
4_script_data,WARNING,project_score,"The 'Priority Point Rank' column contains the value 'SUPP' for the first five visible rows (and possibly more). The script passes this through str_squish() as-is, which is correct, but downstream numeric comparisons or sorting on project_score will break for these rows. The data dictionary maps this field to a score but 'SUPP' is clearly a categorical/supplemental designation.","Document that 'SUPP' is a valid non-numeric value for project_score. Ensure run_tests() and any downstream numeric coercions handle 'SUPP' gracefully, e.g. treat it as NA or a separate category."
4_script_data,WARNING,population,22.7% of PopulationServed values are NA. The first five head rows all have NA population. If clean_numeric_string() does not handle NA inputs gracefully it may throw an error or warning.,"Confirm clean_numeric_string() passes through NA without error. If not, add: population_served = ifelse(is.na(population_served), NA_character_, population_served) before calling clean_numeric_string()."
4_script_data,WARNING,project_description,"Project descriptions contain embedded \n (newline) characters throughout (visible in HEAD ROWS). str_squish() collapses internal whitespace including \n, so multi-line text will be collapsed to single-line, which is likely intended, but any \r\n sequences may produce double spaces or residual characters if \r is not recognized as whitespace by str_squish().","Apply str_replace_all(project_description, '[\r\n]+', ' ') before str_squish() to ensure all line endings are normalized."
4_script_data,WARNING,project_type,"The EC keyword list in the data dictionary includes 'Mn' (case-sensitive abbreviation for manganese). The script uses ignore.case=TRUE for the ec_str regex, so 'mn' would also match, potentially catching unintended words containing 'mn' (e.g., 'umn', 'umn' in column or place names). Also, 'DBP' with ignore.case would match 'dbp' anywhere in text.","Use word-boundary anchors (\b) around short abbreviations like 'Mn', 'DBP', 'THM', 'PFPeA', 'LSL' in the ec_str and lead regex patterns to reduce false positives."
4_script_data,INFO,funding_amount,"Assistance amounts are formatted as '$10,850,000.00' with dollar signs, commas, and decimals. The script relies on clean_numeric_string() to parse these. If clean_numeric_string() does not strip '$' and ',' before as.numeric conversion, values will be NA.","Verify clean_numeric_string() strips '$' and ',' characters. A pattern like gsub('[\$,]', '', x) before as.numeric() is needed."
4_script_data,INFO,project_name,"Several project names contain an em dash character in a date range, e.g. 'Mobile DWSRF Master Plan Phase I (2019 – 2023) Supplemental'. Depending on file encoding handling by fread(), this Unicode character may be read as garbled bytes if encoding is not UTF-8.",Ensure fread() is called with encoding='UTF-8' or that the file encoding is confirmed. Add encoding='UTF-8' to the fread() call.
4_script_data,INFO,EstimatedConstructionStartDate,"The script does not map or use the 'Estimated Construction Start Date' column, which contains values like 'N/A', '5/1/2021', '8/1/2021'. This column is read but silently dropped by the select() statement. This is consistent with the data dictionary (no corresponding standard field), but the column name also likely has embedded \r characters that could cause clean_names() issues if referenced elsewhere.","No action required for the output, but confirm the column is intentionally excluded. If needed in future, rename and parse dates carefully given the M/D/YYYY format and 'N/A' strings."
